    1 H+         0.00e+00    1.0
    2 H          0.00e+00    1.0
    3 H2+        0.00e+00    2.0
    4 H3+        0.00e+00    3.0
    5 He+        0.00e+00    4.0
    6 C+         0.00e+00   12.0
    7 C          0.00e+00   12.0
    8 CH         0.00e+00   13.0
    9 CH+        0.00e+00   13.0
   10 CH2        0.00e+00   14.0
   11 CH2+       0.00e+00   14.0
   12 N          0.00e+00   14.0
   13 N+         0.00e+00   14.0
   14 NH         0.00e+00   15.0
   15 CH3        0.00e+00   15.0
   16 CH3+       0.00e+00   15.0
   17 NH+        0.00e+00   15.0
   18 CH4+       0.00e+00   16.0
   19 NH2+       0.00e+00   16.0
   20 NH2        0.00e+00   16.0
   21 O+         0.00e+00   16.0
   22 CH4        0.00e+00   16.0
   23 O          0.00e+00   16.0
   24 OH+        0.00e+00   17.0
   25 NH3+       0.00e+00   17.0
   26 NH3        0.00e+00   17.0
   27 OH         0.00e+00   17.0
   28 CH5+       0.00e+00   17.0
   29 NH4+       0.00e+00   18.0
   30 H2O        0.00e+00   18.0
   31 H2O+       0.00e+00   18.0
   32 H3O+       0.00e+00   19.0
   33 Mg+        0.00e+00   24.0
   34 C2         0.00e+00   24.0
   35 C2+        0.00e+00   24.0
   36 Mg         0.00e+00   24.0
   37 C2H+       0.00e+00   25.0
   38 C2H        0.00e+00   25.0
   39 C2H2+      0.00e+00   26.0
   40 CN+        0.00e+00   26.0
   41 CN         0.00e+00   26.0
   42 C2H2       0.00e+00   26.0
   43 HNC        0.00e+00   27.0
   44 HCN        0.00e+00   27.0
   45 C2H3       0.00e+00   27.0
   46 C2H3+      0.00e+00   27.0
   47 HCN+       0.00e+00   27.0
   48 N2         0.00e+00   28.0
   49 CO+        0.00e+00   28.0
   50 N2+        0.00e+00   28.0
   51 CO         0.00e+00   28.0
   52 HCNH+      0.00e+00   28.0
   53 C2H4+      0.00e+00   28.0
   54 HCO+       0.00e+00   29.0
   55 HCO        0.00e+00   29.0
   56 HN2+       0.00e+00   29.0
   57 H2CO+      0.00e+00   30.0
   58 NO         0.00e+00   30.0
   59 NO+        0.00e+00   30.0
   60 H2CO       0.00e+00   30.0
   61 HNO        0.00e+00   31.0
   62 H3CO+      0.00e+00   31.0
   63 HNO+       0.00e+00   31.0
   64 O2+        0.00e+00   32.0
   65 H2NO+      0.00e+00   32.0
   66 O2         0.00e+00   32.0
   67 JCO        0.00e+00   28.0
    0 e-         0.00e+00    0.0
    0 H2         0.00e+00    0.0
    0 He         0.00e+00    0.0
